Br,Cl,F,SO4,Ca,Mg,Sr,Cu,Co,Pb,Zn,Li,Na,K,Mn,Fe,Ba,cluster_true
0.09589909324181888,0.06236553886379028,0.022014634800138138,0.1276060163438984,0.06278684437043626,0.0840681274411384,0.10100865520511236,0.016696091929386928,0.013143348906049346,0.018528948144232577,0.008178328928226971,0.07370215330315534,0.10123354955967015,0.049292662749648296,0.08035380747986738,0.03985395459394452,0.04326824413948583,A
0.09997060826458098,0.0933270069776432,0.017877310673030514,0.11715672164862026,0.06049366333125873,0.05088003037899261,0.05089942052901213,0.01345514181615581,0.025302679387138698,0.03300219637185606,0.0167103442125194,0.05944263413460305,0.1403934882408853,0.07527618810980351,0.05542760431555448,0.0439884720699231,0.04639648953842215,A
0.09745812674530178,0.11208582172725229,0.021785163773677806,0.10299905492515758,0.059962891929817116,0.0308589885568634,0.026210078641799216,0.009703456562926111,0.013486313648748555,0.03396245261433261,0.014223637422003006,0.06715459781239637,0.22935958907827844,0.09193375459977132,0.04157826691709928,0.027897949913995336,0.01933985513057957,A
0.13145452906970365,0.1008462589869668,0.0239541220658384,0.18285161812410747,0.07336359855677704,0.04781906399184886,0.01665302474690815,0.02048356744148284,0.014307544972591315,0.021735195979217033,0.03393761973023158,0.038828246690924585,0.1178784381630861,0.03991218480967829,0.03982827960832979,0.0719483513170171,0.024198355745290938,A
0.06993521203124906,0.08417264467472982,0.019399767702821626,0.11406633383990657,0.058588982276391185,0.04648454293970915,0.015481732535876404,0.008718662680242706,0.03346872621780133,0.017132102782931802,0.02140986657674349,0.0976665553237227,0.16011136772864085,0.09235725451750212,0.07344216896300436,0.05649752162156177,0.031066557587165217,A
0.07835290069055649,0.09966441838270228,0.033714112453937274,0.11887779672467087,0.06531572296890055,0.04394509191100063,0.01935227147758647,0.03032422670973875,0.03282079123953704,0.026388100311133214,0.011253567004608347,0.10770824743233227,0.11190026221483809,0.0578740632635226,0.05692417590673822,0.08516414159235752,0.020420109715839314,A
0.1396268744882415,0.1367773627570715,0.013133310598127015,0.05077278515658511,0.03609280520136114,0.07557465870911748,0.042133867954767784,0.009459696143392355,0.009849848373253919,0.015882910017405705,0.02011977318436949,0.07519547345954966,0.09686639640165348,0.08185244613768741,0.08599769690719619,0.0858434165855382,0.024820677924682014,A
0.10462748535904244,0.06714160095259741,0.011822872240371781,0.15089121923830254,0.038309267617427666,0.0915253073348282,0.04929363195355259,0.018152152741686405,0.023934605939765475,0.015689529971676906,0.009248957072197977,0.07282773196785836,0.1755682462023407,0.037389424196683306,0.01671186690758264,0.07196938990267786,0.04489671040140767,A
0.06577478661285216,0.10916552295068745,0.010385496467802674,0.14793432535345868,0.025342001916873295,0.05609633434061647,0.017875498674778473,0.012712413369977837,0.024497840208098733,0.013921865236593507,0.027305898978608176,0.13143357449113857,0.08728280453530668,0.07009122426808669,0.046786766906547664,0.09027927534544065,0.06311437034313236,A
0.07483137041176961,0.06139547339239689,0.021052650435025508,0.23980846250365243,0.12747996513691776,0.09797684926672927,0.04679293954859428,0.01400603268104619,0.008490160074802956,0.02272756519795149,0.0111313261533172,0.04930806712914591,0.0876760734782537,0.03577259614140794,0.031037190832914285,0.047629248034174274,0.02288402958190034,A
